config_key,K,lam_lin,lam_nonlin,seed,pred_r2,sharpe,phi,drift
"(3, 0.005, 0.0005)",3,0.005,0.0005,2048,0.01869291067123413,1.013058031673606,0.04771952676728741,0.7992984339534225
"(3, 0.01, 1e-06)",3,0.01,1e-06,10,0.011236011981964111,0.70477784841596,0.729460305617773,0.3778003150978686
"(3, 0.01, 1e-06)",3,0.01,1e-06,30,0.011989414691925049,0.7098164529938097,0.7165688714888372,0.563227598722377
"(3, 0.01, 1e-06)",3,0.01,1e-06,45,0.016830801963806152,0.6707408431704427,0.7063731187192909,0.6939015308376505
"(3, 0.01, 1e-06)",3,0.01,1e-06,99,0.012349069118499756,0.9712767056890129,0.6394027661313573,0.7762163868157232
"(3, 0.01, 1e-06)",3,0.01,1e-06,2048,0.009512901306152344,0.7216690074839689,0.6691542227998851,0.5912593277313044
"(3, 0.01, 1e-05)",3,0.01,1e-05,10,0.010425150394439697,1.0135391330442527,0.5277802622811653,0.7275769484214558
"(3, 0.01, 1e-05)",3,0.01,1e-05,30,0.016184985637664795,0.9870992240466476,0.39909063633299624,0.8185728294539607
"(3, 0.01, 1e-05)",3,0.01,1e-05,45,0.016294479370117188,1.006819710834504,0.19839380925987582,0.8340994427254059
"(3, 0.01, 1e-05)",3,0.01,1e-05,99,0.014141201972961426,1.0087161395623316,0.23310516997104277,0.7889244817978406
"(3, 0.01, 1e-05)",3,0.01,1e-05,2048,0.015512943267822266,1.010624233389829,0.12316262764046541,0.7886271465907968
"(3, 0.01, 5e-05)",3,0.01,5e-05,10,0.016958236694335938,0.9911492818737004,0.23665785305122036,0.8486726003380571
"(3, 0.01, 5e-05)",3,0.01,5e-05,30,0.017890453338623047,1.0166831918184416,0.16065832269697392,0.7923859086306888
"(3, 0.01, 5e-05)",3,0.01,5e-05,45,0.016319870948791504,1.0114624390075275,0.18669477280049662,0.8340693650600607
"(3, 0.01, 5e-05)",3,0.01,5e-05,99,0.012223780155181885,0.9992373529805693,0.20291342720979755,0.7889332413003372
"(3, 0.01, 5e-05)",3,0.01,5e-05,2048,0.015604853630065918,1.0117645342937596,0.11586862405889368,0.7885718634707016
"(3, 0.01, 0.0001)",3,0.01,0.0001,10,0.017069876194000244,0.9909939382548795,0.2165721228425,0.848655870933068
"(3, 0.01, 0.0001)",3,0.01,0.0001,30,0.017972290515899658,0.9988593119013611,0.13512692638558427,0.7923590990257409
"(3, 0.01, 0.0001)",3,0.01,0.0001,45,0.016381502151489258,1.0152836477090432,0.17148354615977865,0.8340825372602955
"(3, 0.01, 0.0001)",3,0.01,0.0001,99,0.009861290454864502,1.0060454670168855,0.16811664961185618,0.7889282065287335
"(3, 0.01, 0.0001)",3,0.01,0.0001,2048,0.015698611736297607,1.0147021933003706,0.10624817004574037,0.7885829179110063
"(3, 0.01, 0.0005)",3,0.01,0.0005,10,0.01923978328704834,1.004252148295097,0.10363050565943716,0.8504334414557347
"(3, 0.01, 0.0005)",3,0.01,0.0005,30,0.01841825246810913,1.0456433589216778,0.0363208413860259,0.8112852939753037
"(3, 0.01, 0.0005)",3,0.01,0.0005,45,0.015491902828216553,0.9895979934013197,0.13969755556690777,0.8782468180941501
"(3, 0.01, 0.0005)",3,0.01,0.0005,99,0.01936018466949463,1.0304310019283076,0.07618577176066656,0.8351145531312715
"(3, 0.01, 0.0005)",3,0.01,0.0005,2048,0.018349409103393555,0.9834540003640374,0.05178146003615921,0.8066485731723606
"(3, 0.05, 1e-06)",3,0.05,1e-06,10,0.010708808898925781,0.7099628496784954,0.7357344761033392,0.38696282853645364
"(3, 0.05, 1e-06)",3,0.05,1e-06,30,0.01225978136062622,0.7076379754641667,0.7146890777138273,0.5642362468228623
"(3, 0.05, 1e-06)",3,0.05,1e-06,45,0.016878724098205566,0.679847279838206,0.706901178866736,0.6984809313476124
"(3, 0.05, 1e-06)",3,0.05,1e-06,99,0.01235663890838623,0.9868921439749097,0.6382341371153274,0.776332597652243
"(3, 0.05, 1e-06)",3,0.05,1e-06,2048,0.01026308536529541,0.7105252316332026,0.6934529677321188,0.5941648417865579
