Model,config_key,K,lam_lin,lam_nonlin,seed,selected_by_validation,pred_r2,sharpe,phi,drift
ResCAE,"cae:(3, 0.001, 0.0005)",3,0.001,0.0005,10,False,0.017018437385559082,0.5498510106722556,3.321840464761393e-07,0.9681292772293091
ResCAE,"cae:(3, 0.001, 0.0005)",3,0.001,0.0005,30,False,0.017279446125030518,0.5078952671119557,4.7645239710863654e-08,0.9000167846679688
ResCAE,"cae:(3, 0.001, 0.0005)",3,0.001,0.0005,45,False,0.017567157745361328,0.49312306222220204,9.728895698914016e-08,0.8879096508026123
ResCAE,"cae:(3, 0.001, 0.0005)",3,0.001,0.0005,99,False,0.01736283302307129,0.5753496152870122,1.55292872486401e-08,0.9467574954032898
ResCAE,"cae:(3, 0.001, 0.0005)",3,0.001,0.0005,2048,False,0.016244590282440186,0.4471773004927202,8.212379614394999e-07,0.9775797724723816
ResCAE,"cae:(3, 0.005, 1e-06)",3,0.005,1e-06,10,False,0.012434124946594238,0.564298283559815,0.9999997277288477,0.9999192357063293
ResCAE,"cae:(3, 0.005, 1e-06)",3,0.005,1e-06,30,False,0.011289894580841064,0.5394627646743133,0.8730491736488224,0.7463043928146362
ResCAE,"cae:(3, 0.005, 1e-06)",3,0.005,1e-06,45,False,0.015107810497283936,0.6642134583441999,0.9166532453293449,0.9175313115119934
ResCAE,"cae:(3, 0.005, 1e-06)",3,0.005,1e-06,99,False,0.005150914192199707,0.6532227825975502,0.9999989136791557,1.0005515813827515
ResCAE,"cae:(3, 0.005, 1e-06)",3,0.005,1e-06,2048,False,0.015943527221679688,0.803875589034364,3.285337431300837e-07,0.4386689066886902
ResCAE,"cae:(3, 0.005, 1e-05)",3,0.005,1e-05,10,False,0.01748943328857422,0.6669622676328719,6.275233469214934e-07,0.6364570260047913
ResCAE,"cae:(3, 0.005, 1e-05)",3,0.005,1e-05,30,False,0.01626676321029663,0.5462994089286454,3.873589827026907e-07,0.930025577545166
ResCAE,"cae:(3, 0.005, 1e-05)",3,0.005,1e-05,45,False,0.015980780124664307,0.7774887383508646,1.7470931385896746e-07,0.5955226421356201
ResCAE,"cae:(3, 0.005, 1e-05)",3,0.005,1e-05,99,False,0.017602741718292236,0.7979324456846378,5.610228241598733e-08,0.48309728503227234
ResCAE,"cae:(3, 0.005, 1e-05)",3,0.005,1e-05,2048,False,0.016310393810272217,0.7875452387951456,1.4366997828899167e-07,0.6945862770080566
ResCAE,"cae:(3, 0.005, 5e-05)",3,0.005,5e-05,10,False,0.0162045955657959,0.6175027784092891,1.0245046255175444e-06,0.9227418899536133
ResCAE,"cae:(3, 0.005, 5e-05)",3,0.005,5e-05,30,False,0.01625227928161621,0.5357383473752214,2.092200731434982e-06,0.9300892353057861
ResCAE,"cae:(3, 0.005, 5e-05)",3,0.005,5e-05,45,False,0.01691371202468872,0.5873275444853177,1.2573115154891588e-07,0.823868989944458
ResCAE,"cae:(3, 0.005, 5e-05)",3,0.005,5e-05,99,False,0.01648634672164917,0.7212553381147141,1.7010767954295636e-06,0.9452533721923828
ResCAE,"cae:(3, 0.005, 5e-05)",3,0.005,5e-05,2048,False,0.016299307346343994,0.7944920266808044,1.360002786559682e-07,0.6946289539337158
ResCAE,"cae:(3, 0.005, 0.0001)",3,0.005,0.0001,10,False,0.01600039005279541,0.5992463955147395,7.359865579981425e-08,0.922575056552887
ResCAE,"cae:(3, 0.005, 0.0001)",3,0.005,0.0001,30,False,0.01624816656112671,0.543906733508003,1.1333814339671565e-06,0.9299955368041992
ResCAE,"cae:(3, 0.005, 0.0001)",3,0.005,0.0001,45,False,0.016974568367004395,0.5975128532853369,1.1837707687771435e-07,0.8239052891731262
ResCAE,"cae:(3, 0.005, 0.0001)",3,0.005,0.0001,99,False,0.01657891273498535,0.719282981246377,1.9736075803386027e-06,0.945117175579071
ResCAE,"cae:(3, 0.005, 0.0001)",3,0.005,0.0001,2048,False,0.016301751136779785,0.7950953730627823,2.293508096175307e-07,0.6944617629051208
ResCAE,"cae:(3, 0.005, 0.0005)",3,0.005,0.0005,10,False,0.015037953853607178,0.5806680884768253,2.120080179363716e-06,0.9420425295829773
ResCAE,"cae:(3, 0.005, 0.0005)",3,0.005,0.0005,30,False,0.016215920448303223,0.5428537237552699,1.0357928127778906e-06,0.9304289221763611
ResCAE,"cae:(3, 0.005, 0.0005)",3,0.005,0.0005,45,False,0.017464876174926758,0.5846269330061837,1.5448951962335318e-07,0.823759138584137
ResCAE,"cae:(3, 0.005, 0.0005)",3,0.005,0.0005,99,False,0.01677173376083374,0.7154621466199065,3.990790808684053e-06,0.9449970126152039
